Date,Open,High,Low,Close,Volume
09/30/2016,112.46,113.37,111.80,113.05,36379106
10/03/2016,112.71,113.05,112.28,112.52,21701760
10/04/2016,113.06,114.31,112.63,113.00,29736835
10/05/2016,113.40,113.66,112.69,113.05,21453089
10/06/2016,113.70,114.34,113.13,113.89,28779313
10/07/2016,114.31,114.56,113.51,114.06,24358443
10/10/2016,115.02,116.75,114.72,116.05,36235956
10/11/2016,117.70,118.69,116.20,116.30,64041043
10/12/2016,117.35,117.98,116.75,117.34,37586787
10/13/2016,116.79,117.44,115.72,116.98,35192406
10/14/2016,117.88,118.17,117.13,117.63,35652191
10/17/2016,117.33,117.84,116.78,117.55,23624896
10/18/2016,118.18,118.21,117.45,117.47,24553478
10/19/2016,117.25,117.76,113.80,117.12,20034594
10/20/2016,116.86,117.38,116.33,117.06,24125801
10/21/2016,116.81,116.91,116.28,116.60,23192665
10/24/2016,117.10,117.74,117.00,117.65,23538673
10/25/2016,117.95,118.36,117.31,118.25,48128970
10/26/2016,114.31,115.70,113.31,115.59,66134219
10/27/2016,115.39,115.86,114.10,114.48,34562045
10/28/2016,113.87,115.21,113.45,113.72,37861662
10/31/2016,113.65,114.23,113.20,113.54,26419398
11/01/2016,113.46,113.77,110.53,111.49,43825812
11/02/2016,111.40,112.35,111.23,111.59,28331709
11/03/2016,110.98,111.46,109.55,109.83,26932602
11/04/2016,108.53,110.25,108.11,108.84,30836997
11/07/2016,110.08,110.51,109.46,110.41,32560000
11/08/2016,110.31,111.72,109.70,111.06,24254179
11/09/2016,109.88,111.32,108.05,110.88,59176361
11/10/2016,111.09,111.09,105.83,107.79,57134541
11/11/2016,107.12,108.87,106.55,108.43,34143898
11/14/2016,107.71,107.81,104.08,105.71,51175504
11/15/2016,106.57,107.68,106.16,107.11,32264510
11/16/2016,106.70,110.23,106.60,109.99,58840522
11/17/2016,109.81,110.35,108.83,109.95,26964598
11/18/2016,109.72,110.54,109.66,110.06,28428917
11/21/2016,110.12,111.99,110.01,111.73,29264571
11/22/2016,111.95,112.42,111.40,111.80,25965534
11/23/2016,111.36,111.51,110.33,111.23,27426394
11/25/2016,111.47,111.87,110.95,111.79,11475922
11/28/2016,111.43,112.46,111.39,111.57,27193983
11/29/2016,110.78,112.03,110.07,111.46,28528750
11/30/2016,111.60,112.20,110.27,110.52,36162258
12/01/2016,110.36,110.94,109.03,109.49,37086862
12/02/2016,109.17,110.09,108.85,109.90,26527997
12/05/2016,110.00,110.03,108.25,109.11,34324540
12/06/2016,109.50,110.36,109.19,109.95,26195462
12/07/2016,109.26,111.19,109.16,111.03,29998719
12/08/2016,110.86,112.43,110.60,112.12,27068316
12/09/2016,112.31,114.70,112.31,113.95,34402627
12/12/2016,113.29,115.00,112.49,113.30,26374377
12/13/2016,113.84,115.92,113.75,115.19,43733811
12/14/2016,115.04,116.20,114.98,115.19,34031834
12/15/2016,115.38,116.73,115.23,115.82,46524544
12/16/2016,116.47,116.50,115.64,115.97,44351134
12/19/2016,115.80,117.38,115.75,116.64,27779423
12/20/2016,116.74,117.50,116.68,116.95,21424965
12/21/2016,116.80,117.40,116.78,117.06,23783165
12/22/2016,116.35,116.51,115.64,116.29,26085854
12/23/2016,115.59,116.52,115.59,116.52,14249484
12/27/2016,116.52,117.80,116.49,117.26,18296855
12/28/2016,117.52,118.02,116.20,116.76,20905892
12/29/2016,116.45,117.11,116.40,116.73,15039519
12/30/2016,116.65,117.20,115.43,115.82,30586265
01/03/2017,115.80,116.33,114.76,116.15,28781865
01/04/2017,115.85,116.51,115.75,116.02,21118116
01/05/2017,115.92,116.86,115.81,116.61,22193587
01/06/2017,116.78,118.16,116.47,117.91,31751900
01/09/2017,117.95,119.43,117.94,118.99,33561948
01/10/2017,118.77,119.38,118.30,119.11,24462051
01/11/2017,118.74,119.93,118.60,119.75,27588593
01/12/2017,118.90,119.30,118.21,119.25,27086220
01/13/2017,119.11,119.62,118.81,119.04,26111948
01/17/2017,118.34,120.24,118.22,120.00,34439843
01/18/2017,120.00,120.50,119.71,119.99,23712961
01/19/2017,119.40,120.09,119.37,119.78,25597291
01/20/2017,120.45,120.45,119.73,120.00,32597892
01/23/2017,120.00,120.81,119.77,120.08,22050218
01/24/2017,119.55,120.10,119.50,119.97,23211038
01/25/2017,120.42,122.10,120.28,121.88,32586673
01/26/2017,121.67,122.44,121.60,121.94,26337576
01/27/2017,122.14,122.35,121.60,121.95,20562944
01/30/2017,120.93,121.63,120.66,121.63,30377503
01/31/2017,121.15,121.39,120.62,121.35,49200993
02/01/2017,127.03,130.49,127.01,128.75,111985040
02/02/2017,127.98,129.39,127.78,128.53,33710411
02/03/2017,128.31,129.19,128.16,129.08,24507301
02/06/2017,129.13,130.50,128.90,130.29,26845924
02/07/2017,130.54,132.09,130.45,131.53,38183841
02/08/2017,131.35,132.22,131.22,132.04,23004072
02/09/2017,131.65,132.44,131.12,132.42,28349859
02/10/2017,132.46,132.94,132.05,132.12,20065458
02/13/2017,133.08,133.82,132.75,133.29,23035421
02/14/2017,133.47,135.09,133.25,135.02,33226223
02/15/2017,135.52,136.27,134.62,135.51,35623100
02/16/2017,135.67,135.90,134.84,135.34,22584555
02/17/2017,135.10,135.83,135.10,135.72,22198197
02/21/2017,136.23,136.75,135.98,136.70,24507156
02/22/2017,136.43,137.12,136.11,137.11,20836932
02/23/2017,137.38,137.48,136.30,136.53,20788186
02/24/2017,135.91,136.66,135.28,136.66,21776585
02/27/2017,137.14,137.44,136.28,136.93,20257426
02/28/2017,137.08,137.44,136.70,136.99,23482860
03/01/2017,137.89,140.15,137.60,139.79,36414585
03/02/2017,140.00,140.28,138.76,138.96,26210984
03/03/2017,138.78,139.83,138.59,139.78,21571121
03/06/2017,139.36,139.77,138.60,139.34,21750044
03/07/2017,139.06,139.98,138.79,139.52,17446297
03/08/2017,138.95,139.80,138.82,139.00,18707236
03/09/2017,138.74,138.79,137.05,138.68,22155904
03/10/2017,139.25,139.36,138.64,139.14,19612801
03/13/2017,138.85,139.43,138.82,139.20,17421717
03/14/2017,139.30,139.65,138.84,138.99,15309065
03/15/2017,139.41,140.75,139.02,140.46,25691774
03/16/2017,140.72,141.02,140.26,140.69,19231998
03/17/2017,141.00,141.00,139.89,139.99,43884952
03/20/2017,140.40,141.50,140.23,141.46,21542038
03/21/2017,142.11,142.80,139.73,139.84,39529912
03/22/2017,139.84,141.60,139.76,141.42,25860165
03/23/2017,141.26,141.58,140.61,140.92,20346301
03/24/2017,141.50,141.74,140.35,140.64,22395563
03/27/2017,139.39,141.22,138.62,140.88,23575094
03/28/2017,140.91,144.04,140.62,143.80,33374805
03/29/2017,143.68,144.49,143.19,144.12,29189955
03/30/2017,144.19,144.50,143.50,143.93,21207252
03/31/2017,143.72,144.27,143.01,143.66,19661651
04/03/2017,143.71,144.12,143.05,143.70,19985714
04/04/2017,143.25,144.89,143.17,144.77,19891354
04/05/2017,144.22,145.46,143.81,144.02,27717854
04/06/2017,144.29,144.52,143.45,143.66,21149034
04/07/2017,143.73,144.18,143.27,143.34,16672198
04/10/2017,143.60,143.88,142.90,143.17,18933397
04/11/2017,142.94,143.35,140.06,141.63,30379376
04/12/2017,141.60,142.15,141.01,141.80,20350000
04/13/2017,141.91,142.38,141.05,141.05,17822880
04/17/2017,141.48,141.88,140.87,141.83,16582094
04/18/2017,141.41,142.04,141.11,141.20,14697544
04/19/2017,141.88,142.00,140.45,140.68,17328375
04/20/2017,141.22,142.92,141.16,142.44,23319562
04/21/2017,142.44,142.68,141.85,142.27,17320928
04/24/2017,143.50,143.95,143.18,143.64,17134333
04/25/2017,143.91,144.90,143.87,144.53,18871501
04/26/2017,144.47,144.60,143.38,143.68,20041241
04/27/2017,143.92,144.16,143.31,143.79,14246347
04/28/2017,144.09,144.30,143.27,143.65,20860358
05/01/2017,145.10,147.20,144.96,146.58,33602943
05/02/2017,147.54,148.09,146.84,147.51,45352194
05/03/2017,145.59,147.49,144.27,147.06,45697034
05/04/2017,146.52,147.14,145.81,146.53,23371872
05/05/2017,146.76,148.98,146.76,148.96,27327725
05/08/2017,149.03,153.70,149.03,153.01,48752413
05/09/2017,153.87,154.88,153.45,153.99,39130363
05/10/2017,153.63,153.94,152.11,153.26,25805692
05/11/2017,152.45,154.07,152.31,153.95,27255058
05/12/2017,154.70,156.42,154.67,156.10,32527017
05/15/2017,156.01,156.65,155.05,155.70,26009719
05/16/2017,155.94,156.06,154.72,155.47,20048478
05/17/2017,153.60,154.57,149.71,150.25,50767678
05/18/2017,151.27,153.34,151.13,152.54,33568215
05/19/2017,153.38,153.98,152.63,153.06,26960788
05/22/2017,154.00,154.58,152.91,153.99,22966437
05/23/2017,154.90,154.90,153.31,153.80,19918871
05/24/2017,153.84,154.17,152.67,153.34,19219154
05/25/2017,153.73,154.35,153.03,153.87,19235598
05/26/2017,154.00,154.24,153.31,153.61,21927637
05/30/2017,153.42,154.43,153.33,153.67,20126851
05/31/2017,153.97,154.17,152.38,152.76,24451164
06/01/2017,153.17,153.33,152.22,153.18,16404088
06/02/2017,153.58,155.45,152.89,155.45,27770715
06/05/2017,154.34,154.45,153.46,153.93,25331662
06/06/2017,153.90,155.81,153.78,154.45,26624926
06/07/2017,155.02,155.98,154.48,155.37,21069647
06/08/2017,155.25,155.54,154.40,154.99,21250798
06/09/2017,155.19,155.19,146.02,148.98,64882657
06/12/2017,145.74,146.09,142.51,145.42,72307330
06/13/2017,147.16,147.45,145.15,146.59,34165445
06/14/2017,147.50,147.50,143.84,145.16,31531232
06/15/2017,143.32,144.48,142.21,144.29,32165373
06/16/2017,143.78,144.50,142.20,142.27,50361093
06/19/2017,143.66,146.74,143.66,146.34,32541404
06/20/2017,146.87,146.87,144.94,145.01,24900073
06/21/2017,145.52,146.07,144.61,145.87,21265751
06/22/2017,145.77,146.70,145.12,145.63,19106294
06/23/2017,145.13,147.16,145.11,146.28,35439389
06/26/2017,147.17,148.28,145.38,145.82,25692361
06/27/2017,145.01,146.16,143.62,143.73,24761891
06/28/2017,144.49,146.11,143.16,145.83,22082432
06/29/2017,144.71,145.13,142.28,143.68,31499368
06/30/2017,144.45,144.96,143.78,144.02,23024107
07/03/2017,144.88,145.30,143.10,143.50,14277848
07/05/2017,143.69,144.79,142.72,144.09,21569557
07/06/2017,143.02,143.50,142.41,142.73,24128782
07/07/2017,142.90,144.75,142.90,144.18,19201712
07/10/2017,144.11,145.95,143.37,145.06,21090636
07/11/2017,144.73,145.85,144.38,145.53,19781836
07/12/2017,145.87,146.18,144.82,145.74,24884478
07/13/2017,145.50,148.49,145.44,147.77,25199373
07/14/2017,147.97,149.33,147.33,149.04,20132061
07/17/2017,148.82,150.90,148.57,149.56,23793456
07/18/2017,149.20,150.13,148.67,150.08,17868792
07/19/2017,150.48,151.42,149.95,151.02,20922969
07/20/2017,151.50,151.74,150.19,150.34,17243748
07/21/2017,149.99,150.44,148.88,150.27,26252630
07/24/2017,150.58,152.44,149.90,152.09,21493160
07/25/2017,151.80,153.84,151.80,152.74,18853932
07/26/2017,153.35,153.93,153.06,153.46,15780951
07/27/2017,153.75,153.99,147.30,150.56,32476337
07/28/2017,149.89,150.23,149.19,149.50,17213653
07/31/2017,149.90,150.33,148.13,148.73,19845920
08/01/2017,149.10,150.22,148.41,150.05,35368645
08/02/2017,159.28,159.75,156.16,157.14,69936800
08/03/2017,157.05,157.21,155.02,155.57,27097296
08/04/2017,156.07,157.40,155.69,156.39,20559852
08/07/2017,157.06,158.92,156.67,158.81,21870321
08/08/2017,158.60,161.83,158.27,160.08,36205896
08/09/2017,159.26,161.27,159.11,161.06,26131530
08/10/2017,159.90,160.00,154.63,155.32,40804273
08/11/2017,156.60,158.57,156.07,157.48,26257096
08/14/2017,159.32,160.21,158.75,159.85,22122734
08/15/2017,160.66,162.20,160.14,161.60,29465487
08/16/2017,161.94,162.51,160.15,160.95,27671612
08/17/2017,160.52,160.71,157.84,157.86,27940565
08/18/2017,157.86,159.50,156.72,157.50,27428069
08/21/2017,157.50,157.89,155.11,157.21,26368528
08/22/2017,158.23,160.00,158.02,159.78,21604585
08/23/2017,159.07,160.47,158.88,159.98,19399081
08/24/2017,160.43,160.74,158.55,159.27,19818918
08/25/2017,159.65,160.56,159.27,159.86,25480063
08/28/2017,160.14,162.00,159.93,161.47,25965972
08/29/2017,160.10,163.12,160.00,162.91,29516910
08/30/2017,163.80,163.89,162.61,163.35,27269584
08/31/2017,163.64,164.52,163.48,164.00,26785096
09/01/2017,164.80,164.94,163.63,164.05,16591051
09/05/2017,163.75,164.25,160.56,162.08,29536314
09/06/2017,162.71,162.99,160.52,161.91,21651726
09/07/2017,162.09,162.24,160.36,161.26,21928502
09/08/2017,160.86,161.15,158.53,158.63,28611535
09/11/2017,160.50,162.05,159.89,161.50,31580798
09/12/2017,162.61,163.96,158.77,160.86,71714046
09/13/2017,159.87,159.96,157.91,159.65,44907361
09/14/2017,158.99,159.40,158.09,158.28,23760749
09/15/2017,158.47,160.97,158.00,159.88,49114602
09/18/2017,160.11,160.50,158.00,158.67,28269435
09/19/2017,159.51,159.77,158.44,158.73,20810632
09/20/2017,157.90,158.26,153.83,156.07,52951364
09/21/2017,155.80,155.80,152.75,153.39,37511661
09/22/2017,151.54,152.27,150.56,151.89,46645443
09/25/2017,149.99,151.83,149.16,150.55,44387336
09/26/2017,151.78,153.92,151.69,153.14,36660045
09/27/2017,153.80,154.72,153.54,154.23,25182779
09/28/2017,153.89,154.28,152.70,153.28,22005455
09/29/2017,153.21,154.13,152.00,154.12,26299810
