Date,Open,High,Low,Close,Volume
09/30/2016,128.03,128.59,127.45,128.27,18402945
10/03/2016,128.38,129.09,127.80,128.77,13156943
10/04/2016,129.17,129.28,127.55,128.19,14307548
10/05/2016,128.25,128.80,127.83,128.47,12386753
10/06/2016,128.43,129.06,128.08,128.74,11682729
10/07/2016,129.04,129.25,128.33,128.99,12804420
10/10/2016,129.68,130.70,129.20,130.24,15138720
10/11/2016,130.23,130.64,128.23,128.88,17537928
10/12/2016,129.01,129.66,128.46,129.05,11072991
10/13/2016,128.21,128.25,126.75,127.82,17139306
10/14/2016,128.49,128.95,127.58,127.88,13345292
10/17/2016,128.20,128.47,127.32,127.54,11351681
10/18/2016,128.68,129.39,128.01,128.57,13503967
10/19/2016,128.74,130.47,128.60,130.11,16752321
10/20/2016,130.07,130.66,129.50,130.00,13167503
10/21/2016,129.78,132.13,129.70,132.07,19088794
10/24/2016,132.72,133.40,132.15,133.28,17470227
10/25/2016,133.50,133.50,132.22,132.29,13336787
10/26/2016,131.64,132.26,130.94,131.04,13084731
10/27/2016,131.74,131.80,129.27,129.69,16741393
10/28/2016,130.50,132.97,129.93,131.29,24545547
10/31/2016,132.01,132.12,130.88,130.99,15668982
11/01/2016,131.41,131.94,128.65,129.50,22077779
11/02/2016,130.23,130.23,126.28,127.17,50190225
11/03/2016,122.00,123.28,119.50,120.00,63766259
11/04/2016,119.59,121.93,119.25,120.75,30545466
11/07/2016,122.83,123.21,121.35,122.15,23008880
11/08/2016,122.03,124.61,121.54,124.22,19460768
11/09/2016,121.50,123.81,120.51,123.18,31916020
11/10/2016,123.93,124.18,115.27,120.80,67846704
11/11/2016,119.53,120.70,118.15,119.02,32840137
11/14/2016,119.13,119.13,113.55,115.08,51377040
11/15/2016,116.73,118.49,115.83,117.20,34681369
11/16/2016,114.48,117.88,114.21,116.34,32397947
11/17/2016,116.81,117.79,116.01,117.79,18556202
11/18/2016,118.39,119.13,116.84,117.02,22879303
11/21/2016,118.20,121.95,117.80,121.77,35415366
11/22/2016,122.40,122.98,120.90,121.47,26089163
11/23/2016,121.23,121.31,119.94,120.84,15672136
11/25/2016,121.01,121.14,120.07,120.38,8658605
11/28/2016,120.12,121.69,119.82,120.41,18101314
11/29/2016,120.57,122.10,120.40,120.87,18890956
