Date,Open,High,Low,Close,Volume
09/30/2016,803.60,808.09,801.50,804.06,1660201
10/03/2016,802.55,803.54,796.23,800.38,1489212
10/04/2016,805.00,806.50,799.67,802.79,1258706
10/05/2016,806.00,808.50,800.71,801.23,1213820
10/06/2016,804.08,806.94,800.51,803.08,1099909
10/07/2016,805.93,805.94,796.82,800.71,1163899
10/10/2016,803.93,817.38,802.24,814.17,1496115
10/11/2016,814.17,819.86,807.37,809.57,1721575
10/12/2016,811.96,814.50,808.55,811.77,907876
10/13/2016,806.07,806.56,798.62,804.08,1368981
10/14/2016,807.45,810.09,802.32,804.60,1111934
10/17/2016,805.99,813.49,803.83,806.84,1056367
10/18/2016,814.21,828.81,813.33,821.49,2289265
10/19/2016,824.52,829.81,823.20,827.09,1500142
10/20/2016,827.56,828.46,820.55,821.63,1393870
10/21/2016,820.00,824.29,818.31,824.06,1615814
10/24/2016,830.09,837.94,829.04,835.74,1447616
10/25/2016,838.50,838.50,825.30,828.55,1890712
10/26/2016,827.12,827.71,816.35,822.10,1794868
10/27/2016,823.01,826.58,814.61,817.35,2973486
10/28/2016,829.94,839.00,817.00,819.56,4354884
10/31/2016,822.43,822.63,808.00,809.90,2242679
11/01/2016,810.87,813.96,798.26,805.48,2355890
11/02/2016,806.76,806.76,785.00,788.42,2350736
11/03/2016,784.50,790.00,778.63,782.19,2175216
11/04/2016,771.30,788.48,771.00,781.10,1970603
11/07/2016,794.95,805.00,792.90,802.03,1992570
11/08/2016,802.03,816.04,799.62,811.98,1769069
11/09/2016,801.83,811.71,792.04,805.59,3098510
11/10/2016,810.00,810.06,768.23,780.29,5909609
11/11/2016,776.81,777.29,765.54,771.75,3592641
11/14/2016,771.76,771.78,743.59,753.22,3688274
11/15/2016,765.47,780.24,765.22,775.16,2943889
11/16/2016,770.42,783.50,766.33,779.98,1798360
11/17/2016,782.50,788.90,779.85,786.16,1533679
11/18/2016,787.17,791.29,775.35,775.97,1806264
11/21/2016,778.10,786.55,776.30,784.80,1630835
11/22/2016,788.99,793.77,783.74,785.00,1394174
11/23/2016,789.52,789.52,772.65,779.00,1312981
11/25/2016,782.61,782.90,778.19,780.23,613549
11/28/2016,778.35,799.74,778.10,785.79,2575432
11/29/2016,788.38,796.44,785.34,789.44,1561981
11/30/2016,789.10,791.51,773.14,775.88,2279054
12/01/2016,778.55,778.60,753.36,764.33,2867074
12/02/2016,761.90,770.50,759.00,764.46,1718846
12/05/2016,770.00,780.00,766.97,778.22,1688473
12/06/2016,780.19,785.28,773.32,776.18,1734099
12/07/2016,779.95,792.00,773.53,791.47,2029415
12/08/2016,792.95,799.00,787.90,795.17,1612531
12/09/2016,799.30,809.95,798.05,809.45,1904463
12/12/2016,804.82,811.35,804.53,807.90,1628602
12/13/2016,812.39,824.30,811.94,815.34,2128210
12/14/2016,815.92,824.26,812.78,817.89,1799654
12/15/2016,817.36,823.00,812.00,815.65,1769719
12/16/2016,818.31,819.20,808.12,809.84,2598866
12/19/2016,809.28,816.22,804.50,812.50,1263581
12/20/2016,813.37,816.49,811.00,815.20,1271883
12/21/2016,815.72,815.72,805.10,812.20,1459628
12/22/2016,809.10,811.07,806.03,809.68,1132119
12/23/2016,808.01,810.97,805.11,807.80,765537
12/27/2016,808.68,816.00,805.80,809.93,975962
12/28/2016,813.33,813.33,802.44,804.57,1214756
12/29/2016,802.33,805.75,798.14,802.88,1057392
12/30/2016,803.21,803.28,789.62,792.45,1735879
01/03/2017,800.62,811.44,796.89,808.01,1959033
01/04/2017,809.89,813.43,804.11,807.77,1515339
01/05/2017,807.50,813.74,805.92,813.02,1340535
01/06/2017,814.99,828.96,811.50,825.21,2017097
01/09/2017,826.37,830.43,821.62,827.18,1408924
01/10/2017,827.07,829.41,823.14,826.01,1197442
01/11/2017,826.62,829.90,821.47,829.86,1325394
01/12/2017,828.38,830.38,821.01,829.53,1350308
01/13/2017,831.00,834.65,829.52,830.94,1290182
01/17/2017,830.00,830.18,823.20,827.46,1440905
01/18/2017,829.80,829.81,824.08,829.02,1027698
01/19/2017,829.00,833.00,823.96,824.37,1070454
01/20/2017,829.09,829.24,824.60,828.17,1306183
01/23/2017,831.61,845.54,828.70,844.43,2457377
01/24/2017,846.98,851.52,842.28,849.53,1688375
01/25/2017,853.55,858.79,849.74,858.45,1662148
01/26/2017,859.05,861.00,850.52,856.98,3493251
01/27/2017,859.00,867.00,841.90,845.03,3752497
01/30/2017,837.06,837.23,821.03,823.83,3516933
01/31/2017,819.50,823.07,813.40,820.19,2020180
02/01/2017,824.00,824.00,812.25,815.24,2251047
02/02/2017,815.00,824.56,812.05,818.26,1689179
02/03/2017,823.13,826.13,819.35,820.13,1528095
02/06/2017,820.92,822.39,814.29,821.62,1350875
02/07/2017,825.50,831.92,823.29,829.23,1666605
02/08/2017,830.53,834.25,825.11,829.88,1302225
02/09/2017,831.73,831.98,826.50,830.06,1194238
02/10/2017,832.95,837.15,830.51,834.85,1415128
02/13/2017,837.70,841.74,836.25,838.96,1295708
02/14/2017,839.77,842.00,835.83,840.03,1363345
02/15/2017,838.81,841.77,836.22,837.32,1357185
02/16/2017,838.50,842.69,837.26,842.17,1005084
02/17/2017,841.31,846.94,839.78,846.55,1461210
02/21/2017,847.99,852.20,846.55,849.27,1261062
02/22/2017,848.00,853.79,846.71,851.36,1224889
02/23/2017,851.08,852.62,842.50,851.00,1386681
02/24/2017,847.65,848.36,842.96,847.81,1346189
02/27/2017,844.95,850.67,843.01,849.67,1010333
02/28/2017,847.35,848.83,841.44,844.93,1383119
03/01/2017,851.38,858.00,849.02,856.75,1818671
03/02/2017,856.31,856.49,848.72,849.85,1250938
03/03/2017,848.94,850.82,844.70,849.08,1006612
03/06/2017,846.86,848.94,841.17,847.27,1047872
03/07/2017,847.26,853.33,845.52,851.15,1038696
03/08/2017,853.12,856.93,851.25,853.64,1029834
03/09/2017,853.69,860.71,852.67,857.84,1347697
03/10/2017,862.70,864.23,857.61,861.40,1336585
03/13/2017,860.83,867.13,860.82,864.58,1166605
03/14/2017,863.75,867.58,860.13,865.91,1061692
03/15/2017,867.94,869.88,861.30,868.39,1332885
03/16/2017,870.53,872.71,867.52,870.00,1104452
03/17/2017,873.68,874.42,868.37,872.37,1868252
03/20/2017,869.48,870.34,864.66,867.91,1542199
03/21/2017,870.06,873.47,847.69,850.14,2537978
03/22/2017,849.48,855.35,847.00,849.80,1366749
03/23/2017,841.39,841.69,833.00,839.65,3287669
03/24/2017,842.00,844.00,829.10,835.14,2105682
