Date,Open,High,Low,Close,Volume
09/30/2016,57.57,57.77,57.34,57.60,29910788
10/03/2016,57.40,57.55,57.06,57.42,19189515
10/04/2016,57.27,57.60,56.97,57.24,20085874
10/05/2016,57.29,57.96,57.26,57.64,16726411
10/06/2016,57.74,57.86,57.28,57.74,16212611
10/07/2016,57.85,57.98,57.42,57.80,20089020
10/10/2016,57.91,58.39,57.87,58.04,18196509
10/11/2016,57.89,58.02,56.89,57.19,26497418
10/12/2016,57.11,57.27,56.40,57.11,22177464
10/13/2016,56.70,57.30,56.32,56.92,25313748
10/14/2016,57.12,57.74,57.12,57.42,27402451
10/17/2016,57.36,57.46,56.87,57.22,23830014
10/18/2016,57.53,57.94,57.41,57.66,19149538
10/19/2016,57.47,57.84,57.40,57.53,22878397
10/20/2016,57.50,57.52,56.66,57.25,49455612
10/21/2016,60.28,60.45,59.48,59.66,80032206
10/24/2016,59.94,61.00,59.93,61.00,54066978
10/25/2016,60.85,61.37,60.80,60.99,35137164
10/26/2016,60.81,61.20,60.47,60.63,29911608
10/27/2016,60.61,60.83,60.09,60.10,28479856
10/28/2016,60.01,60.52,59.58,59.87,33574684
10/31/2016,60.16,60.42,59.92,59.92,26434697
11/01/2016,59.97,60.02,59.25,59.80,24532986
11/02/2016,59.82,59.93,59.30,59.43,22147005
11/03/2016,59.53,59.64,59.11,59.21,21600427
11/04/2016,58.65,59.28,58.52,58.71,28697016
11/07/2016,59.78,60.52,59.78,60.42,31664798
11/08/2016,60.55,60.78,60.15,60.47,22935355
11/09/2016,60.00,60.59,59.20,60.17,49632479
11/10/2016,60.48,60.49,57.63,58.70,57822394
11/11/2016,58.23,59.12,58.01,59.02,38767843
11/14/2016,59.02,59.08,57.28,58.12,41328422
11/15/2016,58.33,59.49,58.32,58.87,35904126
11/16/2016,58.94,59.66,58.81,59.65,27332475
11/17/2016,60.41,60.95,59.96,60.64,31463728
11/18/2016,60.78,61.14,60.30,60.35,27686311
11/21/2016,60.50,60.97,60.42,60.86,19652595
11/22/2016,60.98,61.26,60.80,61.12,23206700
11/23/2016,61.01,61.10,60.25,60.40,21848913
11/25/2016,60.30,60.53,60.13,60.53,8409616
11/28/2016,60.34,61.02,60.21,60.61,20732619
11/29/2016,60.65,61.41,60.52,61.09,22366721
11/30/2016,60.86,61.18,60.22,60.26,34655435
12/01/2016,60.11,60.15,58.94,59.20,34542121
12/02/2016,59.08,59.47,58.80,59.25,25515665
12/05/2016,59.70,60.58,59.56,60.22,23552658
12/06/2016,60.43,60.46,59.80,59.95,19907035
12/07/2016,60.01,61.38,59.80,61.37,30808969
12/08/2016,61.30,61.58,60.84,61.01,21220753
12/09/2016,61.18,61.99,61.12,61.97,27349356
12/12/2016,61.82,62.30,61.72,62.17,20198081
12/13/2016,62.50,63.42,62.24,62.98,35718868
12/14/2016,63.00,63.45,62.53,62.68,30352654
12/15/2016,62.70,63.15,62.30,62.58,27669868
12/16/2016,62.95,62.95,62.12,62.30,42453083
12/19/2016,62.56,63.77,62.42,63.62,34338219
12/20/2016,63.69,63.80,63.02,63.54,26028379
12/21/2016,63.43,63.70,63.12,63.54,17096304
12/22/2016,63.84,64.10,63.40,63.55,22176585
12/23/2016,63.45,63.54,62.80,63.24,12403819
12/27/2016,63.21,64.07,63.21,63.28,11763173
12/28/2016,63.40,63.40,62.83,62.99,14653348
12/29/2016,62.86,63.20,62.73,62.90,10250582
12/30/2016,62.96,62.99,62.03,62.14,25579908
01/03/2017,62.79,62.84,62.12,62.58,20694101
01/04/2017,62.48,62.75,62.12,62.30,21339969
01/05/2017,62.19,62.66,62.03,62.30,24875968
01/06/2017,62.30,63.15,62.04,62.84,19922919
01/09/2017,62.76,63.08,62.54,62.64,20382730
01/10/2017,62.73,63.07,62.28,62.62,18593004
01/11/2017,62.61,63.23,62.43,63.19,21517335
01/12/2017,63.06,63.40,61.95,62.61,20968223
01/13/2017,62.62,62.86,62.35,62.70,19422310
01/17/2017,62.68,62.70,62.03,62.53,20663983
01/18/2017,62.67,62.70,62.12,62.50,19670102
01/19/2017,62.24,62.98,62.20,62.30,18451655
01/20/2017,62.67,62.82,62.37,62.74,30213462
01/23/2017,62.70,63.12,62.57,62.96,23097581
01/24/2017,63.20,63.74,62.94,63.52,24672940
01/25/2017,63.95,64.10,63.45,63.68,24654933
01/26/2017,64.12,64.54,63.55,64.27,43554645
01/27/2017,65.39,65.91,64.89,65.78,44817972
01/30/2017,65.69,65.79,64.80,65.13,31651445
01/31/2017,64.86,65.15,64.26,64.65,25270549
02/01/2017,64.36,64.62,63.47,63.58,39671528
02/02/2017,63.25,63.41,62.75,63.17,45827013
02/03/2017,63.50,63.70,63.07,63.68,30301759
02/06/2017,63.50,63.65,63.14,63.64,19796360
02/07/2017,63.74,63.78,63.23,63.43,20277226
02/08/2017,63.57,63.81,63.22,63.34,18096358
02/09/2017,63.52,64.44,63.32,64.06,22644443
02/10/2017,64.25,64.30,63.98,64.00,18170729
02/13/2017,64.24,64.86,64.13,64.72,22920101
02/14/2017,64.41,64.72,64.02,64.57,23108426
02/15/2017,64.50,64.57,64.16,64.53,17005157
02/16/2017,64.74,65.24,64.44,64.52,20546345
02/17/2017,64.47,64.69,64.30,64.62,21248818
02/21/2017,64.61,64.95,64.45,64.49,20655869
02/22/2017,64.33,64.39,64.05,64.36,19292651
02/23/2017,64.42,64.73,64.20,64.62,20273128
02/24/2017,64.53,64.80,64.14,64.62,21796800
02/27/2017,64.54,64.54,64.04,64.23,15871507
02/28/2017,64.08,64.20,63.76,63.98,23239825
03/01/2017,64.13,64.99,64.02,64.94,26937459
03/02/2017,64.69,64.75,63.88,64.01,24539597
